song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
Comfort Chain,Instupendo,0.83,0.251,4,-19.774,1,0.0779,0.98,0.893,0.195,0.164,110.002,audio_features,0Db8f7uikjXxH3qHe0UKoW,spotify:track:0Db8f7uikjXxH3qHe0UKoW,https://api.spotify.com/v1/tracks/0Db8f7uikjXxH3qHe0UKoW,https://api.spotify.com/v1/audio-analysis/0Db8f7uikjXxH3qHe0UKoW,184364,4,ambient
Present,Lloyd Vaan,0.227,0.00268,3,-27.348,1,0.06,0.951,0.912,0.109,0.228,64.26,audio_features,6Zrs6gUUaSkM1Z7d0FxOlF,spotify:track:6Zrs6gUUaSkM1Z7d0FxOlF,https://api.spotify.com/v1/tracks/6Zrs6gUUaSkM1Z7d0FxOlF,https://api.spotify.com/v1/audio-analysis/6Zrs6gUUaSkM1Z7d0FxOlF,146000,4,ambient
#3,Aphex Twin,0.159,0.071,6,-27.109,0,0.0409,0.911,0.856,0.107,0.0602,146.977,audio_features,7glKwbR1DyuIuE6XvZvJbQ,spotify:track:7glKwbR1DyuIuE6XvZvJbQ,https://api.spotify.com/v1/tracks/7glKwbR1DyuIuE6XvZvJbQ,https://api.spotify.com/v1/audio-analysis/7glKwbR1DyuIuE6XvZvJbQ,464293,5,ambient
Enough,"Fred again.., Brian Eno",0.15,0.208,10,-16.901,1,0.0409,0.936,0.755,0.218,0.0759,85.706,audio_features,2qMLbeUM1IunPifKpvzqDx,spotify:track:2qMLbeUM1IunPifKpvzqDx,https://api.spotify.com/v1/tracks/2qMLbeUM1IunPifKpvzqDx,https://api.spotify.com/v1/audio-analysis/2qMLbeUM1IunPifKpvzqDx,322499,4,ambient
setar rock,Maral,0.804,0.325,2,-13.067,1,0.0469,0.601,0.588,0.601,0.395,120.002,audio_features,6MvywXbpxt5tYk1a5cA0rb,spotify:track:6MvywXbpxt5tYk1a5cA0rb,https://api.spotify.com/v1/tracks/6MvywXbpxt5tYk1a5cA0rb,https://api.spotify.com/v1/audio-analysis/6MvywXbpxt5tYk1a5cA0rb,240250,4,ambient
Being Here,Mammal Hands,0.267,0.0468,1,-26.101,1,0.0389,0.973,0.224,0.103,0.0726,103.027,audio_features,5cr7x0cknWAOD9iBcJEFVU,spotify:track:5cr7x0cknWAOD9iBcJEFVU,https://api.spotify.com/v1/tracks/5cr7x0cknWAOD9iBcJEFVU,https://api.spotify.com/v1/audio-analysis/5cr7x0cknWAOD9iBcJEFVU,87341,4,ambient
Near Light,Ólafur Arnalds,0.477,0.348,2,-14.586,1,0.0335,0.931,0.949,0.11,0.0867,117.94,audio_features,6Xajr512QEGAZ20bqAWkyT,spotify:track:6Xajr512QEGAZ20bqAWkyT,https://api.spotify.com/v1/tracks/6Xajr512QEGAZ20bqAWkyT,https://api.spotify.com/v1/audio-analysis/6Xajr512QEGAZ20bqAWkyT,208589,4,ambient
Duvet,"Niklas Paschburg, Andy Barlow",0.403,0.16,6,-22.779,1,0.0369,0.959,0.941,0.0911,0.16,72.571,audio_features,1veZkUONsfxYDfqcGo6YbG,spotify:track:1veZkUONsfxYDfqcGo6YbG,https://api.spotify.com/v1/tracks/1veZkUONsfxYDfqcGo6YbG,https://api.spotify.com/v1/audio-analysis/1veZkUONsfxYDfqcGo6YbG,204845,4,ambient
Three Drums,Four Tet,0.169,0.44,0,-10.385,1,0.0277,0.149,0.169,0.126,0.113,95.896,audio_features,2FRIWWs5xxPoQrk5pMmsQN,spotify:track:2FRIWWs5xxPoQrk5pMmsQN,https://api.spotify.com/v1/tracks/2FRIWWs5xxPoQrk5pMmsQN,https://api.spotify.com/v1/audio-analysis/2FRIWWs5xxPoQrk5pMmsQN,495859,4,ambient
Brush,"Kaitlyn Aurelia Smith, Emile Mosseri",0.422,0.204,1,-19.198,1,0.0483,0.891,0.956,0.107,0.354,111.584,audio_features,5HRpMnbWQ1xwQ6kOJseu59,spotify:track:5HRpMnbWQ1xwQ6kOJseu59,https://api.spotify.com/v1/tracks/5HRpMnbWQ1xwQ6kOJseu59,https://api.spotify.com/v1/audio-analysis/5HRpMnbWQ1xwQ6kOJseu59,80427,4,ambient
Looking You In Silence,Suso Saiz,0.204,0.00635,9,-34.261,1,0.0447,0.978,0.914,0.108,0.0366,67.868,audio_features,6nIVSeN1LtdGW7pngh7lrq,spotify:track:6nIVSeN1LtdGW7pngh7lrq,https://api.spotify.com/v1/tracks/6nIVSeN1LtdGW7pngh7lrq,https://api.spotify.com/v1/audio-analysis/6nIVSeN1LtdGW7pngh7lrq,144321,4,ambient
Angels,Dark Sky,0.304,0.472,9,-15.884,0,0.0878,0.786,0.931,0.114,0.0641,92.218,audio_features,0ZrpYZAJWku0zk4i0WVXUT,spotify:track:0ZrpYZAJWku0zk4i0WVXUT,https://api.spotify.com/v1/tracks/0ZrpYZAJWku0zk4i0WVXUT,https://api.spotify.com/v1/audio-analysis/0ZrpYZAJWku0zk4i0WVXUT,256534,3,ambient
aisatsana [102],Aphex Twin,0.26,0.01,4,-32.894,0,0.0359,0.98,0.843,0.131,0.0349,101.39,audio_features,5ljMlD10En5rRGZU0cs2Np,spotify:track:5ljMlD10En5rRGZU0cs2Np,https://api.spotify.com/v1/tracks/5ljMlD10En5rRGZU0cs2Np,https://api.spotify.com/v1/audio-analysis/5ljMlD10En5rRGZU0cs2Np,321880,4,ambient
People On Sunday,Domenique Dumont,0.655,0.403,6,-12.927,0,0.0392,0.958,0.946,0.14,0.276,144.02,audio_features,5GY0OnbXEa7rMivlDo13Xl,spotify:track:5GY0OnbXEa7rMivlDo13Xl,https://api.spotify.com/v1/tracks/5GY0OnbXEa7rMivlDo13Xl,https://api.spotify.com/v1/audio-analysis/5GY0OnbXEa7rMivlDo13Xl,225208,4,ambient
A Shimmer,Nils Frahm,0.152,0.00559,8,-32.174,0,0.0426,0.956,0.906,0.112,0.0772,195.603,audio_features,09F0zRNSUa0qAWYUksXtXt,spotify:track:09F0zRNSUa0qAWYUksXtXt,https://api.spotify.com/v1/tracks/09F0zRNSUa0qAWYUksXtXt,https://api.spotify.com/v1/audio-analysis/09F0zRNSUa0qAWYUksXtXt,396689,3,ambient
Falaise,Floating Points,0.356,0.401,11,-14.475,0,0.0467,0.434,0.789,0.176,0.0397,142.945,audio_features,3rkJH9BaiCWpRY718WTkBP,spotify:track:3rkJH9BaiCWpRY718WTkBP,https://api.spotify.com/v1/tracks/3rkJH9BaiCWpRY718WTkBP,https://api.spotify.com/v1/audio-analysis/3rkJH9BaiCWpRY718WTkBP,234320,5,ambient
I Can Almost See You,Hammock,0.0748,0.523,4,-8.069,1,0.0354,0.782,0.866,0.0886,0.0383,74.195,audio_features,11n8LudggXuZXmldSlAadR,spotify:track:11n8LudggXuZXmldSlAadR,https://api.spotify.com/v1/tracks/11n8LudggXuZXmldSlAadR,https://api.spotify.com/v1/audio-analysis/11n8LudggXuZXmldSlAadR,255336,3,ambient
Space 1,Nala Sinephro,0.271,0.0744,7,-26.455,0,0.0422,0.968,0.937,0.0574,0.0358,114.437,audio_features,5xYR2G6YOEzX2X9asFUrOE,spotify:track:5xYR2G6YOEzX2X9asFUrOE,https://api.spotify.com/v1/tracks/5xYR2G6YOEzX2X9asFUrOE,https://api.spotify.com/v1/audio-analysis/5xYR2G6YOEzX2X9asFUrOE,248000,4,ambient
Clube Da Esquina Nº 2,Milton Nascimento,0.47,0.454,2,-14.921,1,0.0289,0.44,0.424,0.244,0.738,151.519,audio_features,1sdW2whJr8CLa6bMA67LPQ,spotify:track:1sdW2whJr8CLa6bMA67LPQ,https://api.spotify.com/v1/tracks/1sdW2whJr8CLa6bMA67LPQ,https://api.spotify.com/v1/audio-analysis/1sdW2whJr8CLa6bMA67LPQ,218600,4,ambient
It Was 9:30 and You Were Beautiful,WMD,0.189,0.0753,2,-23.335,1,0.0328,0.965,0.784,0.101,0.0372,177.539,audio_features,2juufw7FlVjhDb3vtRwJNS,spotify:track:2juufw7FlVjhDb3vtRwJNS,https://api.spotify.com/v1/tracks/2juufw7FlVjhDb3vtRwJNS,https://api.spotify.com/v1/audio-analysis/2juufw7FlVjhDb3vtRwJNS,273118,4,ambient
Boreal Kiss Pt. 1,Tim Hecker,0.196,0.0236,5,-25.493,0,0.0429,0.528,0.0845,0.289,0.0894,134.596,audio_features,1i8MaQec4fQXj1enX8ZWF4,spotify:track:1i8MaQec4fQXj1enX8ZWF4,https://api.spotify.com/v1/tracks/1i8MaQec4fQXj1enX8ZWF4,https://api.spotify.com/v1/audio-analysis/1i8MaQec4fQXj1enX8ZWF4,208040,4,ambient
#20,Aphex Twin,0.108,0.0419,9,-26.441,0,0.0418,0.971,0.909,0.052,0.0429,69.511,audio_features,0Pg0frSTti7d8Ck1OmOYkz,spotify:track:0Pg0frSTti7d8Ck1OmOYkz,https://api.spotify.com/v1/tracks/0Pg0frSTti7d8Ck1OmOYkz,https://api.spotify.com/v1/audio-analysis/0Pg0frSTti7d8Ck1OmOYkz,255333,3,ambient
Gelis,Flako,0.397,0.0849,10,-21.622,0,0.0426,0.97,0.947,0.11,0.0858,105.903,audio_features,3vy3sOpzkTWc3VsIBjgrrS,spotify:track:3vy3sOpzkTWc3VsIBjgrrS,https://api.spotify.com/v1/tracks/3vy3sOpzkTWc3VsIBjgrrS,https://api.spotify.com/v1/audio-analysis/3vy3sOpzkTWc3VsIBjgrrS,188250,4,ambient
After Midnight,Skinshape,0.652,0.31,2,-13.865,0,0.0324,0.526,0.686,0.115,0.294,131.973,audio_features,0L2Q17joitlk1BxqKbbUyM,spotify:track:0L2Q17joitlk1BxqKbbUyM,https://api.spotify.com/v1/tracks/0L2Q17joitlk1BxqKbbUyM,https://api.spotify.com/v1/audio-analysis/0L2Q17joitlk1BxqKbbUyM,283107,4,ambient
Movement 6,"Floating Points, Pharoah Sanders, London Symphony Orchestra",0.114,0.258,0,-14.626,0,0.0345,0.807,0.803,0.18,0.0733,89.151,audio_features,5i0EqAX50KcKNgMDMHZndM,spotify:track:5i0EqAX50KcKNgMDMHZndM,https://api.spotify.com/v1/tracks/5i0EqAX50KcKNgMDMHZndM,https://api.spotify.com/v1/audio-analysis/5i0EqAX50KcKNgMDMHZndM,530894,4,ambient
Melancholia VI,William Basinski,0.186,0.00851,9,-38.264,0,0.034,0.995,0.946,0.287,0.0879,70.503,audio_features,7HfZJvZMAG5TRecSfLwzZN,spotify:track:7HfZJvZMAG5TRecSfLwzZN,https://api.spotify.com/v1/tracks/7HfZJvZMAG5TRecSfLwzZN,https://api.spotify.com/v1/audio-analysis/7HfZJvZMAG5TRecSfLwzZN,135400,3,ambient
Tobiume,Susumu Yokota,0.241,0.254,6,-17.03,1,0.0416,0.994,0.88,0.0639,0.0378,139.131,audio_features,4IQWc6rhJwpFrRKBLx27X6,spotify:track:4IQWc6rhJwpFrRKBLx27X6,https://api.spotify.com/v1/tracks/4IQWc6rhJwpFrRKBLx27X6,https://api.spotify.com/v1/audio-analysis/4IQWc6rhJwpFrRKBLx27X6,278693,5,ambient
Untravel,Rival Consoles,0.504,0.271,5,-19.877,1,0.045,0.846,0.815,0.0872,0.0564,125.942,audio_features,39tUHDzQ5nlGPtYaA71Y9v,spotify:track:39tUHDzQ5nlGPtYaA71Y9v,https://api.spotify.com/v1/tracks/39tUHDzQ5nlGPtYaA71Y9v,https://api.spotify.com/v1/audio-analysis/39tUHDzQ5nlGPtYaA71Y9v,351948,4,ambient
Waende,Ceeys,0.417,0.0489,0,-27.759,1,0.0706,0.964,0.914,0.116,0.284,144.34,audio_features,0jIymbEdH6q5ZgFVwGJehs,spotify:track:0jIymbEdH6q5ZgFVwGJehs,https://api.spotify.com/v1/tracks/0jIymbEdH6q5ZgFVwGJehs,https://api.spotify.com/v1/audio-analysis/0jIymbEdH6q5ZgFVwGJehs,232743,4,ambient
Pipopapipo,Dewey Martino,0.193,0.346,7,-16.917,0,0.0401,0.927,0.953,0.3,0.0625,120.798,audio_features,4mk4svlMfeb0BIdQahW1ZC,spotify:track:4mk4svlMfeb0BIdQahW1ZC,https://api.spotify.com/v1/tracks/4mk4svlMfeb0BIdQahW1ZC,https://api.spotify.com/v1/audio-analysis/4mk4svlMfeb0BIdQahW1ZC,216000,3,ambient
Limerence,Yves Tumor,0.323,0.18,8,-23.298,1,0.0284,0.957,0.239,0.185,0.772,182.158,audio_features,1KeUP2WeWCXq3yd7MZsnmN,spotify:track:1KeUP2WeWCXq3yd7MZsnmN,https://api.spotify.com/v1/tracks/1KeUP2WeWCXq3yd7MZsnmN,https://api.spotify.com/v1/audio-analysis/1KeUP2WeWCXq3yd7MZsnmN,348132,3,ambient
Night Owl,"Cihangir Aslan, Dilan Balkay",0.542,0.521,4,-12.566,0,0.104,0.884,0.914,0.124,0.176,194.049,audio_features,3i0IiglJ0nzjxlpU3s7wXr,spotify:track:3i0IiglJ0nzjxlpU3s7wXr,https://api.spotify.com/v1/tracks/3i0IiglJ0nzjxlpU3s7wXr,https://api.spotify.com/v1/audio-analysis/3i0IiglJ0nzjxlpU3s7wXr,376082,4,ambient
Coconut Mango,Arrangement,0.427,0.136,8,-16.962,0,0.0336,0.953,0.653,0.0765,0.185,138.105,audio_features,6VRgvci0hYokJguaBzGZmj,spotify:track:6VRgvci0hYokJguaBzGZmj,https://api.spotify.com/v1/tracks/6VRgvci0hYokJguaBzGZmj,https://api.spotify.com/v1/audio-analysis/6VRgvci0hYokJguaBzGZmj,325490,4,ambient
No Step on Wing,Nils Frahm,0.181,0.161,11,-27.538,1,0.0348,0.931,0.947,0.134,0.24,93.444,audio_features,2DmIDwMhMA3V0KipI78nM1,spotify:track:2DmIDwMhMA3V0KipI78nM1,https://api.spotify.com/v1/tracks/2DmIDwMhMA3V0KipI78nM1,https://api.spotify.com/v1/audio-analysis/2DmIDwMhMA3V0KipI78nM1,286986,4,ambient
