song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
"He's a Pirate (from ""Pirates of the Caribbean: Curse of the Black Pearl"") - From ""Pirates of the Caribbean: The Curse Of the Black Pearl""/Score",Klaus Badelt,0.463,0.624,10,-13.167,1,0.0485,0.0151,0.962,0.134,0.178,70.48,audio_features,37g1RYWXZP7qPVWm62ffOz,spotify:track:37g1RYWXZP7qPVWm62ffOz,https://api.spotify.com/v1/tracks/37g1RYWXZP7qPVWm62ffOz,https://api.spotify.com/v1/audio-analysis/37g1RYWXZP7qPVWm62ffOz,88013,4,enigmatic
Time,Hans Zimmer,0.286,0.0968,7,-16.806,1,0.0323,0.178,0.696,0.0861,0.0395,62.881,audio_features,6ZFbXIJkuI1dVNWvzJzown,spotify:track:6ZFbXIJkuI1dVNWvzJzown,https://api.spotify.com/v1/tracks/6ZFbXIJkuI1dVNWvzJzown,https://api.spotify.com/v1/audio-analysis/6ZFbXIJkuI1dVNWvzJzown,275556,4,enigmatic
Theme From Jurassic Park,John Williams,0.144,0.132,10,-19.115,1,0.0333,0.946,0.779,0.115,0.0627,102.283,audio_features,2TZbQZXOuR8osP2AK8yYMN,spotify:track:2TZbQZXOuR8osP2AK8yYMN,https://api.spotify.com/v1/tracks/2TZbQZXOuR8osP2AK8yYMN,https://api.spotify.com/v1/audio-analysis/2TZbQZXOuR8osP2AK8yYMN,207427,3,enigmatic
Cornfield Chase,Hans Zimmer,0.18,0.226,9,-16.457,0,0.042,0.951,0.982,0.0998,0.048,94.079,audio_features,6pWgRkpqVfxnj3WuIcJ7WP,spotify:track:6pWgRkpqVfxnj3WuIcJ7WP,https://api.spotify.com/v1/tracks/6pWgRkpqVfxnj3WuIcJ7WP,https://api.spotify.com/v1/audio-analysis/6pWgRkpqVfxnj3WuIcJ7WP,126960,4,enigmatic
"Comptine d'un autre été, l'après-midi",Yann Tiersen,0.483,0.192,4,-15.378,0,0.0469,0.991,0.908,0.106,0.0542,100.848,audio_features,14rZjW3RioG7WesZhYESso,spotify:track:14rZjW3RioG7WesZhYESso,https://api.spotify.com/v1/tracks/14rZjW3RioG7WesZhYESso,https://api.spotify.com/v1/audio-analysis/14rZjW3RioG7WesZhYESso,140733,4,enigmatic
Now We Are Free,"Hans Zimmer, Klaus Badelt, Lisa Gerrard, Gavin Greenaway, The Lyndhurst Orchestra",0.339,0.219,9,-18.595,1,0.0336,0.578,0.101,0.104,0.0387,138.091,audio_features,6k41naacsmD4L3i9AzCFom,spotify:track:6k41naacsmD4L3i9AzCFom,https://api.spotify.com/v1/tracks/6k41naacsmD4L3i9AzCFom,https://api.spotify.com/v1/audio-analysis/6k41naacsmD4L3i9AzCFom,254293,4,enigmatic
The Avengers,Alan Silvestri,0.25,0.553,7,-8.188,1,0.0429,0.606,0.673,0.145,0.226,118.985,audio_features,5SXsXjVJCWeJuf7FHvgBYR,spotify:track:5SXsXjVJCWeJuf7FHvgBYR,https://api.spotify.com/v1/tracks/5SXsXjVJCWeJuf7FHvgBYR,https://api.spotify.com/v1/audio-analysis/5SXsXjVJCWeJuf7FHvgBYR,123360,4,enigmatic
Concerning Hobbits,Howard Shore,0.488,0.0629,2,-21.524,1,0.0342,0.843,0.406,0.133,0.175,104.311,audio_features,644es5aYPJghtZLjM1rmSP,spotify:track:644es5aYPJghtZLjM1rmSP,https://api.spotify.com/v1/tracks/644es5aYPJghtZLjM1rmSP,https://api.spotify.com/v1/audio-analysis/644es5aYPJghtZLjM1rmSP,175040,4,enigmatic
Pure spirits of the forest,James Horner,0.128,0.0234,0,-32.13,1,0.0375,0.535,0.189,0.135,0.0365,97.173,audio_features,1IFME3mAnOYVDv4I2gMUyd,spotify:track:1IFME3mAnOYVDv4I2gMUyd,https://api.spotify.com/v1/tracks/1IFME3mAnOYVDv4I2gMUyd,https://api.spotify.com/v1/audio-analysis/1IFME3mAnOYVDv4I2gMUyd,529947,4,enigmatic
The Batman Theme,Danny Elfman,0.201,0.475,11,-10.097,0,0.0417,0.659,0.916,0.0748,0.0398,73.563,audio_features,50csT5Qb2qOF7lHdDQ1Sbx,spotify:track:50csT5Qb2qOF7lHdDQ1Sbx,https://api.spotify.com/v1/tracks/50csT5Qb2qOF7lHdDQ1Sbx,https://api.spotify.com/v1/audio-analysis/50csT5Qb2qOF7lHdDQ1Sbx,158333,3,enigmatic
