song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
Augury,Lynx XII,0.587,0.0614,9,-22.387,0,0.0484,0.981,0.894,0.112,0.399,75.041,audio_features,1ELJ66txni1o86RVvdcgHb,spotify:track:1ELJ66txni1o86RVvdcgHb,https://api.spotify.com/v1/tracks/1ELJ66txni1o86RVvdcgHb,https://api.spotify.com/v1/audio-analysis/1ELJ66txni1o86RVvdcgHb,156067,4,focus
emotions,Josef Briem,0.416,0.0608,7,-18.971,1,0.041,0.961,0.87,0.129,0.158,66.707,audio_features,44DaoGCx5GuHqQI1ZflPs8,spotify:track:44DaoGCx5GuHqQI1ZflPs8,https://api.spotify.com/v1/tracks/44DaoGCx5GuHqQI1ZflPs8,https://api.spotify.com/v1/audio-analysis/44DaoGCx5GuHqQI1ZflPs8,165483,5,focus
Orange Sky,Auðura,0.599,0.114,4,-20.061,1,0.0399,0.966,0.917,0.109,0.0553,79.979,audio_features,2MveOWtavb89Lk09bcPoi8,spotify:track:2MveOWtavb89Lk09bcPoi8,https://api.spotify.com/v1/tracks/2MveOWtavb89Lk09bcPoi8,https://api.spotify.com/v1/audio-analysis/2MveOWtavb89Lk09bcPoi8,129187,4,focus
the echoing truth,Tall Towers,0.297,0.0461,0,-20.517,0,0.0336,0.91,0.895,0.112,0.0927,73.838,audio_features,1HsNwZPWvrN8gZ44YnjOCo,spotify:track:1HsNwZPWvrN8gZ44YnjOCo,https://api.spotify.com/v1/tracks/1HsNwZPWvrN8gZ44YnjOCo,https://api.spotify.com/v1/audio-analysis/1HsNwZPWvrN8gZ44YnjOCo,126506,4,focus
So Far So Good,Sun Of They,0.577,0.0721,2,-22.973,1,0.0317,0.981,0.898,0.111,0.242,73.998,audio_features,6zTbtySCRStJOv5xA4XvRE,spotify:track:6zTbtySCRStJOv5xA4XvRE,https://api.spotify.com/v1/tracks/6zTbtySCRStJOv5xA4XvRE,https://api.spotify.com/v1/audio-analysis/6zTbtySCRStJOv5xA4XvRE,151917,4,focus
Apricity,Imala Zir,0.467,0.243,11,-22.534,1,0.0332,0.842,0.947,0.115,0.0541,75.031,audio_features,6cr9XbO2yAJgTNa6XNRINF,spotify:track:6cr9XbO2yAJgTNa6XNRINF,https://api.spotify.com/v1/tracks/6cr9XbO2yAJgTNa6XNRINF,https://api.spotify.com/v1/audio-analysis/6cr9XbO2yAJgTNa6XNRINF,158000,4,focus
Solatium,Imber Sun,0.442,0.112,2,-18.687,1,0.0415,0.985,0.919,0.111,0.111,112.206,audio_features,4br0nM6NdvDKMJgLj44foR,spotify:track:4br0nM6NdvDKMJgLj44foR,https://api.spotify.com/v1/tracks/4br0nM6NdvDKMJgLj44foR,https://api.spotify.com/v1/audio-analysis/4br0nM6NdvDKMJgLj44foR,126986,5,focus
efflorescence,Far & Beyond,0.509,0.212,6,-23.342,1,0.0305,0.843,0.853,0.111,0.0711,84.0,audio_features,7qa14fkhxgOwWgJ2cbDTyc,spotify:track:7qa14fkhxgOwWgJ2cbDTyc,https://api.spotify.com/v1/tracks/7qa14fkhxgOwWgJ2cbDTyc,https://api.spotify.com/v1/audio-analysis/7qa14fkhxgOwWgJ2cbDTyc,143500,4,focus
Gather My Thoughts,Josef Briem,0.346,0.0513,7,-20.528,1,0.0432,0.954,0.895,0.105,0.058,129.445,audio_features,11nkLTEsCUzxXLWpyuz65G,spotify:track:11nkLTEsCUzxXLWpyuz65G,https://api.spotify.com/v1/tracks/11nkLTEsCUzxXLWpyuz65G,https://api.spotify.com/v1/audio-analysis/11nkLTEsCUzxXLWpyuz65G,183500,1,focus
Fresh Paint,Shape Of Our Dreams,0.378,0.0973,3,-20.7,1,0.0418,0.955,0.94,0.115,0.0564,118.209,audio_features,40yQjVqMx52xTlY4KFZXnh,spotify:track:40yQjVqMx52xTlY4KFZXnh,https://api.spotify.com/v1/tracks/40yQjVqMx52xTlY4KFZXnh,https://api.spotify.com/v1/audio-analysis/40yQjVqMx52xTlY4KFZXnh,154992,3,focus
