song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,audio_features,6zSpb8dQRaw0M1dK8PBwQz,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/tracks/6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/audio-analysis/6zSpb8dQRaw0M1dK8PBwQz,202735,4,happy
Little Things x Gypsy Woman - L BEATS MASHUP,Jorja Smith,0.644,0.879,6,-5.204,0,0.0761,0.00423,6.91e-06,0.286,0.808,126.935,audio_features,6xp1u6ZEHXX8DxJIFFrVoP,spotify:track:6xp1u6ZEHXX8DxJIFFrVoP,https://api.spotify.com/v1/tracks/6xp1u6ZEHXX8DxJIFFrVoP,https://api.spotify.com/v1/audio-analysis/6xp1u6ZEHXX8DxJIFFrVoP,131000,4,happy
Deep Down (feat. Never Dull),"Alok, Ella Eyre, Kenny Dope, Never Dull",0.687,0.818,0,-4.221,1,0.0778,0.0112,0.0,0.248,0.886,125.952,audio_features,7MIhUdNJtaOnDmC5nBC1fb,spotify:track:7MIhUdNJtaOnDmC5nBC1fb,https://api.spotify.com/v1/tracks/7MIhUdNJtaOnDmC5nBC1fb,https://api.spotify.com/v1/audio-analysis/7MIhUdNJtaOnDmC5nBC1fb,165753,4,happy
Words (feat. Zara Larsson),"Alesso, Zara Larsson",0.739,0.586,10,-5.079,0,0.0472,0.0245,0.000252,0.308,0.444,124.026,audio_features,1bgKMxPQU7JIZEhNsM1vFs,spotify:track:1bgKMxPQU7JIZEhNsM1vFs,https://api.spotify.com/v1/tracks/1bgKMxPQU7JIZEhNsM1vFs,https://api.spotify.com/v1/audio-analysis/1bgKMxPQU7JIZEhNsM1vFs,142677,4,happy
Relax My Eyes,"ANOTR, Abel Balder",0.747,0.616,3,-9.76,0,0.0324,0.176,0.116,0.143,0.908,131.975,audio_features,5u4hhtZ7f4rWkMZEZcTKrH,spotify:track:5u4hhtZ7f4rWkMZEZcTKrH,https://api.spotify.com/v1/tracks/5u4hhtZ7f4rWkMZEZcTKrH,https://api.spotify.com/v1/audio-analysis/5u4hhtZ7f4rWkMZEZcTKrH,192151,4,happy
Afraid to Feel,LF SYSTEM,0.578,0.912,1,-3.929,1,0.114,0.0166,0.00362,0.273,0.68,127.87,audio_features,40SBS57su9xLiE1WqkXOVr,spotify:track:40SBS57su9xLiE1WqkXOVr,https://api.spotify.com/v1/tracks/40SBS57su9xLiE1WqkXOVr,https://api.spotify.com/v1/audio-analysis/40SBS57su9xLiE1WqkXOVr,177525,4,happy
21 Reasons (feat. Ella Henderson),"Nathan Dawe, Ella Henderson",0.621,0.785,6,-4.499,1,0.11,0.0165,5.92e-06,0.0512,0.779,123.96,audio_features,1RF02Cf80mTaeNXG2P2boR,spotify:track:1RF02Cf80mTaeNXG2P2boR,https://api.spotify.com/v1/tracks/1RF02Cf80mTaeNXG2P2boR,https://api.spotify.com/v1/audio-analysis/1RF02Cf80mTaeNXG2P2boR,155253,4,happy
One in a Million,"Bebe Rexha, David Guetta",0.454,0.931,11,-4.083,1,0.0321,0.238,0.000623,0.289,0.462,137.945,audio_features,3YfGTvsTAWGC2lgoDOikUz,spotify:track:3YfGTvsTAWGC2lgoDOikUz,https://api.spotify.com/v1/tracks/3YfGTvsTAWGC2lgoDOikUz,https://api.spotify.com/v1/audio-analysis/3YfGTvsTAWGC2lgoDOikUz,160530,4,happy
B.O.T.A. (Baddest Of Them All) - Edit,"Eliza Rose, Interplanetary Criminal",0.736,0.906,0,-7.589,1,0.048,0.164,0.585,0.106,0.698,137.001,audio_features,39JofJHEtg8I4fSyo7Imft,spotify:track:39JofJHEtg8I4fSyo7Imft,https://api.spotify.com/v1/tracks/39JofJHEtg8I4fSyo7Imft,https://api.spotify.com/v1/audio-analysis/39JofJHEtg8I4fSyo7Imft,226627,4,happy
adore u,"Fred again.., Obongjayar",0.747,0.867,0,-7.311,1,0.088,0.582,0.00413,0.114,0.684,124.015,audio_features,3YgtkOxZsTuaZdL8McA1FQ,spotify:track:3YgtkOxZsTuaZdL8McA1FQ,https://api.spotify.com/v1/tracks/3YgtkOxZsTuaZdL8McA1FQ,https://api.spotify.com/v1/audio-analysis/3YgtkOxZsTuaZdL8McA1FQ,220653,4,happy
