song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
Glance Out A Casement Window,Janet Redger,0.384,0.0189,1,-31.119,1,0.0395,0.992,0.947,0.0967,0.0834,62.479,audio_features,5hFkGfx038V0LhqI0Uff2J,spotify:track:5hFkGfx038V0LhqI0Uff2J,https://api.spotify.com/v1/tracks/5hFkGfx038V0LhqI0Uff2J,https://api.spotify.com/v1/audio-analysis/5hFkGfx038V0LhqI0Uff2J,130166,4,relax
This Tender Appeal,Allysium,0.435,0.0404,4,-26.262,1,0.0358,0.984,0.96,0.0952,0.193,95.929,audio_features,3RI7rnK1YgmyRcXq9pkMqQ,spotify:track:3RI7rnK1YgmyRcXq9pkMqQ,https://api.spotify.com/v1/tracks/3RI7rnK1YgmyRcXq9pkMqQ,https://api.spotify.com/v1/audio-analysis/3RI7rnK1YgmyRcXq9pkMqQ,168499,4,relax
Lyrides,Jozef De Schutter,0.297,0.0126,7,-27.76,1,0.0442,0.994,0.913,0.0785,0.386,171.767,audio_features,7hVcd9PDdO0xK8vE3WQqnV,spotify:track:7hVcd9PDdO0xK8vE3WQqnV,https://api.spotify.com/v1/tracks/7hVcd9PDdO0xK8vE3WQqnV,https://api.spotify.com/v1/audio-analysis/7hVcd9PDdO0xK8vE3WQqnV,163000,4,relax
Calm Wind,Elfrieda,0.461,0.0286,0,-25.117,1,0.0482,0.995,0.986,0.116,0.471,113.851,audio_features,6fjZ39b5dT9uZzFsVRLwSi,spotify:track:6fjZ39b5dT9uZzFsVRLwSi,https://api.spotify.com/v1/tracks/6fjZ39b5dT9uZzFsVRLwSi,https://api.spotify.com/v1/audio-analysis/6fjZ39b5dT9uZzFsVRLwSi,140103,4,relax
A tale to tell,Luiza Schmidt,0.386,0.0128,1,-28.66,1,0.0396,0.991,0.931,0.109,0.189,126.374,audio_features,1b1A6Z7pI8myEX3TSyweOk,spotify:track:1b1A6Z7pI8myEX3TSyweOk,https://api.spotify.com/v1/tracks/1b1A6Z7pI8myEX3TSyweOk,https://api.spotify.com/v1/audio-analysis/1b1A6Z7pI8myEX3TSyweOk,130134,4,relax
A Time Long Ago,Polly Carter,0.328,0.00746,0,-28.584,1,0.0356,0.989,0.883,0.134,0.178,95.437,audio_features,67ntAUXUgYdO3YUt04zk5E,spotify:track:67ntAUXUgYdO3YUt04zk5E,https://api.spotify.com/v1/tracks/67ntAUXUgYdO3YUt04zk5E,https://api.spotify.com/v1/audio-analysis/67ntAUXUgYdO3YUt04zk5E,135106,4,relax
Waitings,Felix Tanguy,0.344,0.0893,9,-26.873,1,0.0354,0.99,0.927,0.0958,0.178,94.414,audio_features,597H3V2av5dnxNcIDa4Yrk,spotify:track:597H3V2av5dnxNcIDa4Yrk,https://api.spotify.com/v1/tracks/597H3V2av5dnxNcIDa4Yrk,https://api.spotify.com/v1/audio-analysis/597H3V2av5dnxNcIDa4Yrk,139412,3,relax
Forevermore,Ambrosiae,0.47,0.0243,5,-24.242,1,0.0354,0.994,0.896,0.121,0.331,81.805,audio_features,3xZBHTUT1gLAmDbPz77ETo,spotify:track:3xZBHTUT1gLAmDbPz77ETo,https://api.spotify.com/v1/tracks/3xZBHTUT1gLAmDbPz77ETo,https://api.spotify.com/v1/audio-analysis/3xZBHTUT1gLAmDbPz77ETo,154311,3,relax
Evening Star,Ron Adelaar,0.327,0.0191,8,-27.091,1,0.0305,0.992,0.928,0.109,0.151,166.839,audio_features,5HbLcDxxjtJ0800p6RjoeH,spotify:track:5HbLcDxxjtJ0800p6RjoeH,https://api.spotify.com/v1/tracks/5HbLcDxxjtJ0800p6RjoeH,https://api.spotify.com/v1/audio-analysis/5HbLcDxxjtJ0800p6RjoeH,128724,3,relax
Saying Things,Emanuel Fremont,0.307,0.0381,11,-28.197,1,0.0423,0.993,0.945,0.104,0.0631,72.453,audio_features,2bjQvSk5T3A2dmnqqeRhzI,spotify:track:2bjQvSk5T3A2dmnqqeRhzI,https://api.spotify.com/v1/tracks/2bjQvSk5T3A2dmnqqeRhzI,https://api.spotify.com/v1/audio-analysis/2bjQvSk5T3A2dmnqqeRhzI,123500,5,relax
