song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
Circle,Phil France,0.388,0.223,6,-15.605,1,0.0356,0.854,0.903,0.111,0.0579,119.998,audio_features,44ZvVLd2hl0h9RieOZ0YMB,spotify:track:44ZvVLd2hl0h9RieOZ0YMB,https://api.spotify.com/v1/tracks/44ZvVLd2hl0h9RieOZ0YMB,https://api.spotify.com/v1/audio-analysis/44ZvVLd2hl0h9RieOZ0YMB,243000,4,tranquil
Violet Sunset,Arnold Kasar,0.283,0.121,1,-18.147,1,0.0301,0.94,0.952,0.111,0.0759,73.565,audio_features,1QvYfNXdbMTD9UJHJa7ulN,spotify:track:1QvYfNXdbMTD9UJHJa7ulN,https://api.spotify.com/v1/tracks/1QvYfNXdbMTD9UJHJa7ulN,https://api.spotify.com/v1/audio-analysis/1QvYfNXdbMTD9UJHJa7ulN,253140,4,tranquil
Something from Nothing,Pieter de Graaf,0.299,0.0604,3,-27.262,1,0.0354,0.989,0.922,0.16,0.122,71.378,audio_features,78fOkzXOLDV6cXLY3QgIuA,spotify:track:78fOkzXOLDV6cXLY3QgIuA,https://api.spotify.com/v1/tracks/78fOkzXOLDV6cXLY3QgIuA,https://api.spotify.com/v1/audio-analysis/78fOkzXOLDV6cXLY3QgIuA,235289,5,tranquil
Billow Gently,"Sophie Hutchings, Lavinia Meijer",0.292,0.0804,7,-25.788,0,0.0468,0.994,0.929,0.124,0.207,139.447,audio_features,0G6oaTsBqKgZ3VHPGZFrwL,spotify:track:0G6oaTsBqKgZ3VHPGZFrwL,https://api.spotify.com/v1/tracks/0G6oaTsBqKgZ3VHPGZFrwL,https://api.spotify.com/v1/audio-analysis/0G6oaTsBqKgZ3VHPGZFrwL,195429,3,tranquil
Sauntering Dream,"We Dream of Eden, Jonathan Warman",0.172,0.0393,0,-25.871,0,0.0496,0.941,0.881,0.114,0.0312,116.227,audio_features,0c2FezsbQQHPFWgtlyGACF,spotify:track:0c2FezsbQQHPFWgtlyGACF,https://api.spotify.com/v1/tracks/0c2FezsbQQHPFWgtlyGACF,https://api.spotify.com/v1/audio-analysis/0c2FezsbQQHPFWgtlyGACF,199625,4,tranquil
Dreamy,Hania Rani,0.495,0.0696,7,-31.384,0,0.0296,0.96,0.898,0.119,0.276,95.193,audio_features,4tqAHq4q1M9m9AOhaWqNKn,spotify:track:4tqAHq4q1M9m9AOhaWqNKn,https://api.spotify.com/v1/tracks/4tqAHq4q1M9m9AOhaWqNKn,https://api.spotify.com/v1/audio-analysis/4tqAHq4q1M9m9AOhaWqNKn,179800,3,tranquil
Momentum,GUIDO,0.278,0.0261,5,-31.697,1,0.0404,0.992,0.907,0.0995,0.111,102.106,audio_features,3yvKMfTf8vmUGm1tpJhl6k,spotify:track:3yvKMfTf8vmUGm1tpJhl6k,https://api.spotify.com/v1/tracks/3yvKMfTf8vmUGm1tpJhl6k,https://api.spotify.com/v1/audio-analysis/3yvKMfTf8vmUGm1tpJhl6k,186890,4,tranquil
Venerable Dilemma,"Roger Eno, Scoring Berlin",0.17,0.168,4,-16.175,0,0.0418,0.977,0.808,0.247,0.0379,140.759,audio_features,7LcLD9Mb1lHmkhMMfB3QXT,spotify:track:7LcLD9Mb1lHmkhMMfB3QXT,https://api.spotify.com/v1/tracks/7LcLD9Mb1lHmkhMMfB3QXT,https://api.spotify.com/v1/audio-analysis/7LcLD9Mb1lHmkhMMfB3QXT,153104,3,tranquil
Closer,"Wilson Trouvé, Jordane Tumarinson",0.19,0.244,7,-15.161,1,0.0294,0.918,0.928,0.374,0.1,97.885,audio_features,7597u2WnODjeid70WaYxTT,spotify:track:7597u2WnODjeid70WaYxTT,https://api.spotify.com/v1/tracks/7597u2WnODjeid70WaYxTT,https://api.spotify.com/v1/audio-analysis/7597u2WnODjeid70WaYxTT,111430,4,tranquil
BORDERS,Alexandra Streliski,0.262,0.0579,8,-25.402,1,0.0348,0.961,0.9,0.105,0.215,140.772,audio_features,7kd29hQliuo3wqBZJfZj1F,spotify:track:7kd29hQliuo3wqBZJfZj1F,https://api.spotify.com/v1/tracks/7kd29hQliuo3wqBZJfZj1F,https://api.spotify.com/v1/audio-analysis/7kd29hQliuo3wqBZJfZj1F,179302,4,tranquil
